CS,GP,ID,rt
no,no,P3,7.690465
yes,no,P3,7.828038
no,yes,P3,8.184131
yes,yes,P3,7.938576
no,no,P4,8.123904
yes,no,P4,8.209137
no,yes,P4,8.469677
yes,yes,P4,8.148857
no,no,P6,7.182431
yes,no,P6,7.592717
no,yes,P6,7.604378
yes,yes,P6,7.952254
no,no,P7,8.190122
yes,no,P7,8.326383
no,yes,P7,8.64999
yes,yes,P7,8.598975
no,no,P8,8.264342
yes,no,P8,8.380395
no,yes,P8,8.549148
yes,yes,P8,8.714101
no,no,P9,8.120796
yes,no,P9,8.477372
no,yes,P9,8.467645
yes,yes,P9,8.337327
no,no,P10,8.050857
yes,no,P10,8.317874
no,yes,P10,8.271255
yes,yes,P10,8.375809
no,no,P11,8.222415
yes,no,P11,8.634789
no,yes,P11,8.062169
yes,yes,P11,8.188911
no,no,P12,7.419097
yes,no,P12,7.436148
no,yes,P12,7.603726
yes,yes,P12,7.74394
no,no,P14,7.898435
yes,no,P14,8.166497
no,yes,P14,8.075067
yes,yes,P14,8.098605
no,no,P20,8.296148
yes,no,P20,8.109473
no,yes,P20,8.353516
yes,yes,P20,8.461212
